,Country,Year,fertility,life,population,child_mortality,gdp,region,CountryCode
31,Afghanistan,1995,7.832000000000002,52.4,19789880.0,152.3,872.0,South Asia,AFG
81,Albania,1995,2.7230000000000003,72.117,3141102.0,33.2,3941.0,Europe & Central Asia,ALB
131,Algeria,1995,3.449,67.893,28291591.0,42.6,9168.0,Middle East & North Africa,DZA
181,Angola,1995,7.019,42.073,12105105.0,224.8,2859.0,Sub-Saharan Africa,AGO
231,Antigua and Barbuda,1995,2.208,72.441,68642.0,19.7,17167.0,America,ATG
281,Argentina,1995,2.774,72.719,34855160.0,23.4,10673.0,America,ARG
331,Armenia,1995,1.8,68.91,3223173.0,38.6,2169.0,Europe & Central Asia,ARM
365,Aruba,1995,2.064,73.622,80323.0,21.83,38602.0,America,ABW
415,Australia,1995,1.822,78.45,18118416.0,7.0,30359.0,East Asia & Pacific,AUS
465,Austria,1995,1.4240000000000002,76.83,7935624.0,6.8,33480.0,Europe & Central Asia,AUT
515,Azerbaijan,1995,2.5610000000000004,64.59100000000001,7764798.0,94.3,3320.0,Europe & Central Asia,AZE
565,Bahamas,1995,2.514,71.351,279774.0,18.7,22119.0,America,BHS
615,Bahrain,1995,3.1,73.439,559069.0,18.1,43244.0,Middle East & North Africa,BHR
665,Bangladesh,1995,3.732,62.69300000000001,117486952.0,114.2,1424.0,South Asia,BGD
715,Barbados,1995,1.726,72.175,263416.0,15.5,12587.0,America,BRB
765,Belarus,1995,1.47,68.42,10274231.0,17.9,5275.0,Europe & Central Asia,BLR
815,Belgium,1995,1.606,76.97,10079873.0,7.6,32774.0,Europe & Central Asia,BEL
865,Belize,1995,4.1080000000000005,70.05,220311.0,30.1,6209.0,America,BLZ
915,Benin,1995,6.365,54.903,5651141.0,159.1,1398.0,Sub-Saharan Africa,BEN
965,Bhutan,1995,4.597,56.463,518584.0,105.3,2930.0,South Asia,BTN
1015,Bolivia,1995,4.575,61.13,7470925.0,101.8,4068.0,America,Unknown code
1065,Bosnia and Herzegovina,1995,1.528,67.973,3332098.0,15.2,1976.0,Europe & Central Asia,BIH
1115,Botswana,1995,3.989,57.771,1585637.0,60.6,8823.0,Sub-Saharan Africa,BWA
1165,Brazil,1995,2.502,68.46,161848162.0,46.7,11108.0,America,BRA
1215,Brunei,1995,2.929,74.786,289614.0,10.6,78406.0,East Asia & Pacific,Unknown code
